Transaction Amount,Transaction Frequency,Geographic Location,Time of Transaction,Cardholder’s Purchase History,Merchant Category,CNP Transactions,Device Information,Velocity Checks,Failed Authentication Attempts,Card Expiration Date and CVV,International Transactions,Fraudulent
5.49,2,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
129.31,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
1.15,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
147.22,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
15.89,1,Local,Usual,Consistent,Low Risk,No,Unknown,High,None,Correct,No,False
8.29,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,Multiple,Correct,No,False
9.39,4,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
111.49,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
28.15,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,Yes,False
54.57,0,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
81.5,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
985.05,8,Local,Unusual,Inconsistent,High Risk,No,Known,High,Multiple,Correct,Yes,True
129.84,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
31.52,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
14.1,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
5.7,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
179.5,6,Local,Unusual,Inconsistent,High Risk,Yes,Known,High,Multiple,Correct,Yes,True
30.4,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
60.91,2,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
114.97,2,Local,Usual,Consistent,High Risk,No,Known,High,None,Correct,No,False
118.95,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
33.34,4,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
47.79,2,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
19.99,1,Foreign,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
155.37,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
5.85,0,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
119.4,2,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
150.82,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
150.24,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
30.03,6,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
46.81,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
17.716,4,Local,Unusual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,No,True
31.86,7,Local,Unusual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,Yes,True
46.34,1,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
21.95,0,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
61.59,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
4.56,2,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,Multiple,Correct,No,False
160.84,2,Foreign,Unusual,Consistent,High Risk,No,Unknown,High,None,Correct,No,False
8.01,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
73.15,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
36.65,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
430.85,3,Local,Unusual,Inconsistent,High Risk,Yes,Known,Normal,None,Correct,Yes,True
320.48,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Incorrect,No,False
103.72,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
3.6,3,Local,Unusual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
56.28,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
71.34,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
76.83,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
114.38,3,Foreign,Unusual,Inconsistent,Low Risk,Yes,Unknown,Normal,None,Correct,No,True
32.52,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
13.8,1,Foreign,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
49.87,0,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,Multiple,Correct,No,False
313.28,6,Local,Usual,Inconsistent,High Risk,No,Known,High,None,Correct,No,False
20.72,3,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
234.32,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
78.48,2,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
61.05,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
213.74,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
61.36,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
644.0,8,Foreign,Unusual,Inconsistent,Low Risk,Yes,Known,Normal,Multiple,Correct,Yes,True
50.92,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
234.39,2,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
117.13,2,Local,Unusual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
120.27,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
39.71,1,Local,Unusual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,Yes,False
141.38,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
101.08,4,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
27.45,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
17.5,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
159.16,3,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
319.83,5,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
61.27,2,Local,Unusual,Inconsistent,Low Risk,No,Known,Normal,None,Correct,No,False
89.4,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
195.0,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,Multiple,Correct,No,False
61.11,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
1516.9499999999998,1,Local,Unusual,Inconsistent,High Risk,Yes,Unknown,High,None,Incorrect,Yes,True
85.74,5,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
171.91,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
239.52,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
169.02,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
17.37,1,Local,Unusual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
99.13,1,Local,Usual,Inconsistent,Low Risk,Yes,Known,High,Multiple,Correct,No,False
254.1,3,Foreign,Unusual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,Yes,True
6.48,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
55.17,0,Foreign,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
29.93,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
945.3499999999999,6,Foreign,Unusual,Inconsistent,Low Risk,Yes,Unknown,Normal,Multiple,Correct,Yes,True
3.39,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
319.38,1,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
43.91,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
44.12,1,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,Yes,False
1.65,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
20.49,2,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
51.29,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
264.92,0,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
10.49,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
290.59,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
1018.15,8,Foreign,Unusual,Inconsistent,Low Risk,Yes,Unknown,High,None,Correct,No,True
60.54,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
39.56,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
26.49,2,Local,Unusual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
95.31,2,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
3.36,0,Local,Usual,Inconsistent,Low Risk,No,Known,High,None,Correct,No,False
1.57,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
56.0,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
7.05,1,Local,Usual,Consistent,High Risk,No,Unknown,High,None,Correct,No,False
29.03,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,Multiple,Correct,No,False
25.0,2,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
29.19,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
14.05,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
1.21,0,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
12.27,2,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
96.36,3,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
365.96,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
464.03,0,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
52.6,0,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
17.79,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
101.82,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
67.39,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
454.78,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
6.75,7,Foreign,Usual,Inconsistent,High Risk,Yes,Unknown,Normal,Multiple,Incorrect,Yes,True
152.89,2,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
34.02,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
27.63,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
108.62,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
28.24,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
109.62,1,Local,Unusual,Consistent,Low Risk,Yes,Unknown,Normal,None,Correct,No,False
72.84,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
55.18,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
80.9,3,Foreign,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
33.83,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
122.61,4,Local,Unusual,Consistent,Low Risk,No,Unknown,High,None,Correct,No,False
53.59,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
44.71,2,Local,Usual,Consistent,High Risk,No,Unknown,Normal,None,Correct,No,False
176.41,4,Local,Unusual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
258.98,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
4.71,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
26.48,0,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
214.25,2,Foreign,Unusual,Inconsistent,High Risk,Yes,Known,Normal,None,Correct,No,True
168.72,9,Local,Unusual,Inconsistent,Low Risk,No,Unknown,High,None,Correct,Yes,True
2116.5,5,Foreign,Usual,Inconsistent,Low Risk,Yes,Known,Normal,None,Incorrect,No,True
347.29,5,Local,Usual,Consistent,High Risk,No,Unknown,Normal,None,Correct,No,False
1176.65,1,Foreign,Usual,Inconsistent,High Risk,No,Unknown,High,None,Correct,Yes,True
35.18,9,Foreign,Unusual,Consistent,High Risk,Yes,Known,High,None,Correct,No,True
482.97,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
28.69,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
11.19,5,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
301.5,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
26.58,4,Local,Usual,Consistent,High Risk,No,Known,High,None,Correct,No,False
117.04,0,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
6.01,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
131.2,2,Local,Unusual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
213.47,5,Local,Usual,Inconsistent,High Risk,No,Known,Normal,None,Correct,No,False
31.81,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
47.65,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
46.89,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
138.15,0,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
27.16,2,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,Yes,False
18.86,1,Local,Usual,Consistent,Low Risk,Yes,Unknown,Normal,None,Correct,Yes,False
59.65,4,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,Yes,False
36.31,0,Local,Usual,Consistent,Low Risk,Yes,Unknown,Normal,None,Correct,No,False
182.75,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
27.15,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
69.79,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
285.74,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
100.51,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
201.96,1,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
281.69,2,Local,Unusual,Consistent,High Risk,Yes,Known,Normal,Multiple,Correct,No,False
138.94,1,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
120.26,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
344.09,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
518.51,2,Foreign,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
12.024000000000001,2,Local,Unusual,Inconsistent,High Risk,Yes,Unknown,High,Multiple,Correct,Yes,True
7.35,2,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
34.64,5,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
16.53,2,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
10.808,8,Foreign,Unusual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,No,True
14.07,3,Local,Unusual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
92.66,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
48.26,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
225.75,5,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
343.56,1,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
79.16,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
32.13,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
89.71,2,Local,Usual,Consistent,High Risk,No,Known,High,None,Correct,No,False
227.07,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
52.21,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
80.31,3,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
31.7,5,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
60.78,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
51.37,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
28.56,1,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
70.49,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
37.16,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
46.69,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
74.44,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
694.35,2,Local,Unusual,Inconsistent,Low Risk,Yes,Unknown,High,Multiple,Correct,No,True
40.57,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
257.91,2,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
198.28,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
4.99,1,Foreign,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
29.26,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
59.08,2,Local,Usual,Consistent,High Risk,No,Known,Normal,Multiple,Correct,No,False
11.05,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
42.84,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,Multiple,Correct,Yes,False
134.74,4,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
114.1,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
486.95,5,Local,Unusual,Inconsistent,Low Risk,No,Known,Normal,Multiple,Correct,Yes,True
24.794,9,Local,Unusual,Consistent,High Risk,Yes,Unknown,Normal,None,Correct,Yes,True
22.93,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
41.81,0,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
112.78,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
211.39,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
78.46,0,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
33.23,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
3.07,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
123.9,0,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
0.79,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
46.63,2,Local,Unusual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
75.62,1,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
255.25,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
9.38,4,Foreign,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
52.08,4,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,Yes,False
2.46,0,Foreign,Unusual,Inconsistent,Low Risk,No,Unknown,Normal,None,Incorrect,Yes,True
41.95,1,Local,Usual,Consistent,High Risk,No,Known,High,None,Correct,No,False
97.35,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
32.72,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
23.54,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
12.3,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
86.07,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
118.83,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
111.46,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
297.32,2,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
0.27,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
104.18,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
91.73,2,Foreign,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
88.85,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
65.812,9,Foreign,Unusual,Inconsistent,Low Risk,Yes,Unknown,Normal,Multiple,Correct,No,True
1.7,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
119.23,4,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
168.03,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
71.3,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
8.128,2,Local,Unusual,Inconsistent,High Risk,Yes,Known,High,None,Correct,Yes,True
156.47,1,Foreign,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
10.23,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
11.670000000000002,8,Foreign,Unusual,Inconsistent,High Risk,Yes,Known,High,None,Correct,Yes,True
73.39,5,Local,Usual,Inconsistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
118.4,0,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
9.53,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
25.85,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
52.81,1,Local,Usual,Consistent,High Risk,No,Known,High,Multiple,Correct,No,False
97.63,3,Foreign,Unusual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
218.0,0,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
96.45,4,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
71.6,4,Foreign,Unusual,Inconsistent,High Risk,Yes,Known,Normal,None,Correct,Yes,True
394.15,3,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
205.41,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
69.86,2,Local,Usual,Consistent,High Risk,No,Unknown,High,None,Correct,No,False
255.55,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
77.95,1,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,Multiple,Correct,No,False
256.79,1,Foreign,Usual,Consistent,Low Risk,Yes,Unknown,Normal,None,Correct,No,False
35.428,0,Foreign,Usual,Inconsistent,Low Risk,Yes,Known,High,Multiple,Correct,Yes,True
345.1,1,Local,Unusual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
252.3,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Incorrect,No,False
3.67,1,Local,Usual,Consistent,High Risk,Yes,Unknown,Normal,None,Correct,No,False
19.21,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
49.29,1,Local,Usual,Inconsistent,Low Risk,No,Known,Normal,None,Correct,No,False
303.95,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
35.67,1,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
17.49,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
1087.1,3,Local,Unusual,Inconsistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,True
59.13,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,Yes,False
238.46,2,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
17.46,1,Local,Unusual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
108.21,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
58.03,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
7.96,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
119.23,5,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
28.42,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
4.04,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
6.18,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
6.3,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
238.31,2,Local,Usual,Consistent,High Risk,No,Known,High,None,Correct,No,False
134.66,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
228.34,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
111.65,1,Local,Usual,Consistent,Low Risk,Yes,Unknown,Normal,None,Correct,No,False
75.28,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
36.3,3,Foreign,Unusual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,Yes,True
619.59,0,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
44.97,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
63.61,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
237.60000000000002,5,Local,Unusual,Inconsistent,High Risk,Yes,Known,Normal,None,Correct,Yes,True
388.86,0,Local,Unusual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
19.2,1,Local,Unusual,Consistent,High Risk,Yes,Known,Normal,Multiple,Correct,No,False
39.75,5,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
114.05,2,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
6.53,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
93.46,3,Foreign,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
64.94,1,Local,Unusual,Inconsistent,Low Risk,No,Known,Normal,None,Correct,No,False
33.41,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
27.24,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,Multiple,Correct,No,False
72.26,1,Local,Usual,Inconsistent,Low Risk,No,Known,Normal,None,Correct,No,False
45.88,3,Local,Usual,Consistent,Low Risk,Yes,Unknown,Normal,None,Correct,No,False
60.98,1,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
41.17,3,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,Yes,False
352.32,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
14.32,6,Foreign,Unusual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,No,True
10.18,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
42.07,1,Local,Usual,Inconsistent,High Risk,No,Known,Normal,None,Correct,No,False
